#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 814000      2.37e-02      3.26e-06      8.20e-03    7.4e-06
 816000      3.10e-02      3.23e-04      1.03e-02    7.4e-06
 818000      3.57e-02      7.12e-04      9.56e-03    7.4e-06
 820000      2.97e-02      3.42e-04      9.57e-03    7.4e-06
 822000      2.87e-02      4.13e-04      8.85e-03    7.4e-06
 824000      2.52e-02      3.13e-05      8.71e-03    7.4e-06
 826000      2.44e-02      1.96e-04      8.41e-03    6.9e-06
 828000      4.32e-02      3.23e-04      1.50e-02    6.9e-06
 830000      2.46e-02      3.91e-04      7.89e-03    6.9e-06
 832000      2.53e-02      5.81e-05      9.00e-03    6.9e-06
 834000      3.07e-02      3.85e-04      1.03e-02    6.9e-06
 836000      2.18e-02      2.21e-05      8.00e-03    6.4e-06
 838000      2.67e-02      2.34e-05      9.80e-03    6.4e-06
 840000      2.84e-02      4.81e-04      9.23e-03    6.4e-06
 842000      3.01e-02      4.64e-04      1.00e-02    6.4e-06
 844000      2.45e-02      2.71e-04      8.43e-03    6.4e-06
 846000      3.12e-02      7.35e-04      8.73e-03    6.4e-06
 848000      2.74e-02      2.91e-04      9.89e-03    6.0e-06
 850000      2.72e-02      2.83e-05      1.03e-02    6.0e-06
 852000      2.10e-02      9.65e-07      7.91e-03    6.0e-06
 854000      2.31e-02      2.51e-04      8.19e-03    6.0e-06
 856000      2.40e-02      4.74e-04      7.59e-03    6.0e-06
 858000      2.08e-02      8.12e-05      8.00e-03    5.6e-06
 860000      2.08e-02      1.25e-04      7.95e-03    5.6e-06
